subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_130.wav,0,False,2701,3,0.213129,-14.505163
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_130.wav,0,False,2701,4,0.284172,16.979815
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_130.wav,0,False,2701,5,0.355215,-66.512052
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_130.wav,0,False,2701,6,0.426259,-59.569067
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_179.wav,1,True,2701,0,0.0,31.793897
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_179.wav,1,True,2701,1,0.071043,-7.76666
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_179.wav,1,True,2701,2,0.142086,14.202215
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_179.wav,1,True,2701,3,0.213129,-28.726082
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_179.wav,1,True,2701,4,0.284172,-38.298342
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_179.wav,1,True,2701,5,0.355215,97.025797
Auregan,3,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_179.wav,1,True,2701,6,0.426259,-148.112175
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_111.wav,0,True,1138,0,0.0,-76.898484
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_111.wav,0,True,1138,1,0.071043,128.576704
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_111.wav,0,True,1138,2,0.142086,84.475821
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_111.wav,0,True,1138,3,0.213129,13.962019
Auregan,4,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_111.wav,0,True,1138,4,0.284172,80.950376
